designation,source_id,ra,dec,parallax,pmra,pmdec,ruwe,phot_g_mean_mag,bp_rp,radial_velocity,phot_variable_flag,non_single_star,has_xp_continuous,has_xp_sampled,has_rvs,has_epoch_photometry,has_epoch_rv,has_mcmc_gspphot,has_mcmc_msc,teff_gspphot,logg_gspphot,mh_gspphot,distance_gspphot,azero_gspphot,ag_gspphot,ebpminrp_gspphot
Gaia DR3 2013054474482849024,2013054474482849024,358.5671520276577,62.75384990093431,0.4462480431906674,-1.0464227194851745,0.5560233730221141,0.94504315,15.798314,1.3729782,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,7093.773,4.2603,-0.2581,1576.1584,2.0741,1.7121,0.9312
Gaia DR3 6653782954379212672,6653782954379212672,276.689489267532,-52.266316117030605,-0.057478683595959985,-2.078759914283566,-5.845995349877606,0.9980091,18.92075,0.6374512,,NOT_AVAILABLE,0,false,false,false,false,false,true,false,6172.0996,4.6981,-2.6437,5156.9033,0.0057,0.0049,0.0027
Gaia DR3 2249336259101304832,2249336259101304832,295.91057438596994,68.24048208043773,0.28456135595228005,-4.959500139396134,-2.4328086224929892,1.0471795,17.049204,0.9327831,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,5370.825,4.698,-1.507,1435.4061,0.0517,0.0425,0.0231
Gaia DR3 2249336289164949504,2249336289164949504,295.89047257431537,68.23375345425805,0.80922874798286,-0.6547653198286618,1.9203922419587842,1.0904624,19.815742,1.8805199,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336289164951936,2249336289164951936,295.8960485439934,68.23667068598746,0.5985728965660517,-0.7976418536117069,-1.8047870226122198,1.0488869,19.566029,2.1370335,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2012729328264499456,2012729328264499456,359.3751772283315,61.841684598335185,0.34752872270866364,-2.3862093858638094,-1.2928876340542934,0.9483218,19.280876,2.0846405,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2012729328265169792,2012729328265169792,359.37335263311655,61.84558161166699,-0.2969628439100967,-3.126611373829918,-2.7432498730496984,1.1768689,20.472006,1.5411434,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336289164954496,2249336289164954496,295.85836820216497,68.23906376301602,0.06293534729901677,-0.8927821028695269,-2.0327563225347762,0.9960067,20.185871,1.0461254,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2012729328265175424,2012729328265175424,359.3861181850266,61.84995900706523,,,,,20.881824,1.7952976,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336289164956032,2249336289164956032,295.86669237319205,68.24097195608958,0.8138600414101066,2.8511561555237597,-4.056167079928162,1.0348607,19.546179,2.0061302,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2012729328265463680,2012729328265463680,359.37494525422636,61.83994349864154,,,,,20.957834,1.879036,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336289164958720,2249336289164958720,295.87810919725115,68.243925357686,,,,,21.556143,2.0572872,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2012729328265466112,2012729328265466112,359.3802989293547,61.84682303245538,,,,,20.926226,1.5438843,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2012729328265466752,2012729328265466752,359.3813277714612,61.849000584964955,4.512991685815386,-1.1033445190700737,0.9208198069957263,0.8913622,20.73928,0.121873856,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336323524694912,2249336323524694912,295.8857912905315,68.24205716320827,-0.21300055834258846,-0.497901849467854,10.049814200428013,0.99089444,20.184786,1.9309826,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2012729328265467520,2012729328265467520,359.38795178495303,61.85102402811839,,,,,20.907093,1.7518291,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
Gaia DR3 2249336323524697984,2249336323524697984,295.89884113555496,68.24512306314725,0.8959882869711029,6.8525171787414045,-1.3006918964889755,1.376087,17.476759,1.7620907,,NOT_AVAILABLE,0,true,false,false,false,false,true,true,4163.956,4.3833,0.0483,1201.7007,0.4666,0.3398,0.1826
Gaia DR3 2012729328265610496,2012729328265610496,359.393841289935,61.852002701765116,,,,,20.97987,,,NOT_AVAILABLE,0,false,false,false,false,false,false,false,,,,,,,
