source_id,x,y,z,phot_g_mean_mag,bp_rp
1945662898541000192,-3176.8922949575417,2115.306942364997,-2276.49098171128,19.379978,1.2294254
1945662928602895744,4813.270666461662,-3202.439560291362,3446.912942671626,18.740562,1.2582092
1945662928602897024,-3223.673354304222,2145.2533313552926,-2308.8876597319877,18.973183,1.0385818
1945662928602898304,582.1500667771217,-387.3024837931603,416.9563497332238,19.225866,2.3792171
1945662928602903552,2695.733310875183,-1794.0187502333504,1931.7000503672218,18.56607,1.3349667
1945662932900731648,351.2332078489508,-233.741885496297,251.53790497775756,12.678237,0.8098841
5890399319806865664,-1626.0439321439665,-2118.626046816729,-3112.4728244069292,19.221725,
1945662932900734720,2591.0736415670053,-1724.2899417639471,1856.4052326283559,18.51022,0.9018612
5890399319806865920,1066.193987576551,1389.0353340691977,2040.7139810247538,19.323483,1.8800392
1945662962962642176,-4851.437256297552,3227.13162463359,-3476.0129054027457,19.725943,1.671854
5890603519702202368,-1274.0889485766418,-1634.676801468928,-2401.999016476165,16.441338,1.8228474
1945662962962644608,1410.1193717809022,-937.6923142817596,1010.4481819707944,18.497381,1.681078
1945662039547573504,895.0284329972148,-599.7118001813469,641.789165588028,15.704404,1.0109196
1945662069609140096,597.3285703440639,-400.257668102496,428.46384581858916,17.768679,2.0028095
1945662069609428096,3519.3819918811505,-2357.069212172648,2523.544343530408,19.76943,1.5881577
1945662069609430272,1193.7716250514034,-799.4343684068477,856.0596789353692,16.716158,1.0864906
1945662073907311616,3099.475223683696,-2076.2524850424256,2222.748579585361,16.026873,0.6322079
1945662073907314048,830.1357076807752,-556.2167106113147,595.4019313459205,11.865159,1.4042625
1945662103969538048,1773.0679420377821,-1187.014049757322,1271.3035297274077,19.649078,1.2672596
1945662108267045248,2338.276404860385,-1564.780845442387,1676.763216884438,16.928043,0.8864212
1945662108267046912,1281.2966541356798,-857.6834606485197,918.9073243385797,17.692965,1.1146412
5890399319818584704,-3171.1092765422713,-4131.977287784346,-6072.0905863761145,19.639177,1.542759
5890399319818585600,-713.4397547639983,-929.4301174424364,-1365.9293521995787,18.11433,1.4517021
5890399319818587008,-1033.2450095910624,-1346.1658449459196,-1978.163304245621,17.2009,1.4406548
5890399319818590208,-1095.631849495279,-1427.2122109802146,-2097.2704514508346,18.411692,1.6741123
5890399319818591488,931.7798810546832,1214.270507863805,1783.778669708649,19.544456,1.6936302
5890399319818593152,-457.86168628670913,-596.4669159572811,-876.3653813341504,17.887335,1.5881157
5890399319818637184,6054.598432168267,7889.7192843404855,11592.244177168031,18.170042,1.5501366
5890399319818637312,-329.5444546849179,-429.3718606851661,-630.9061446546099,16.935246,1.8997183
5890399319818638208,-1363.9975446548262,-1776.9840534208852,-2610.3712435311622,17.854908,1.5050087
5890399319826357888,-1855.9635939819634,-2418.044524429202,-3553.7256064670137,18.557964,1.6429157
5890399319826360064,-249.83727450808755,-325.4774928465156,-478.190862511156,19.80275,2.46805
5890399349838743424,7682.778987999206,9977.511336837557,14719.28287215884,18.347801,1.2627544
1945662962962648192,1662.8697561542408,-1105.9937296776066,1192.0065240462839,18.578001,0.9691639
1945662967260470400,1571.4786439112222,-1045.2823030231482,1125.8050386123869,15.523379,1.0885668
1945662997322384256,1447.567342652745,-963.4251757547283,1037.6261833463884,19.967192,0.86167145
1945663031682122496,340.7387604570946,-226.74385894054743,244.23298309312986,18.513754,2.5007668
1945663066041856256,2975.9545062044594,-1983.2086143577599,2133.200701527757,19.230814,1.050066
1945663100401598720,1739.9082980853275,-1159.1309011671847,1247.4761206576104,18.469307,1.5851173
1945663100402068608,1244.0558338275464,-828.8012454466331,891.7721492081575,19.174444,2.3882122
5890463160197273856,-574.0543944940143,-715.4178579891511,-1093.782847960941,15.236579,1.4643202
5890463160197273984,3630.5503815505576,4524.022263136177,6917.035740625972,18.685394,2.0167866
5890463160197275136,1297.3366055015117,1616.6043734195584,2471.4070716414994,19.364834,1.9150715
5890463190228927488,-851.1066886171151,-1060.0000420726594,-1621.1493348728488,18.415915,2.1695747
5890463190230804480,-1460.3873947831328,-1818.701677884857,-2781.919739829587,17.32188,2.366129
5890463190230806784,-1037.9421833426572,-1292.123948907716,-1976.628558504737,16.416744,2.054451
5890399349838743552,-3257.2457235143715,-4229.84465375009,-6240.097749368755,18.534054,1.7293282
5890399349838748032,-2542.831818921026,-3302.5742556079504,-4870.891323400829,18.760504,1.2582035
5890399349839486720,-685.7735320082298,-890.551331439967,-1313.9775479077903,19.538607,1.5426826
